symbol,month,timestamp,open,high,low,close,volume,unnamed: 8,unnamed: 9,unnamed: 10,unnamed: 11,unnamed: 12,c-o,h-c,l-c,h-o,l-o,h-l,unnamed: 19,unnamed: 20,unnamed: 21,unnamed: 22,unnamed: 23,unnamed: 24,unnamed: 25,hc<co,hc<ho,lc<co,up,961 / 776,958 / 799,unnamed: 32,unnamed: 33,J,K,L,next_open,next_close,J_next,U,body_pct,upper_wick_pct,lower_wick_pct,next_body_pct,next_move_pct,U_pct,abs_U_pct,direction
ETHUSDT,2026-07,2026-07-01 07:00:00+00:00,1575.9900000000,1581.1900000000,1572.5000000000,1578.3600000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3700000000,2.8300000000,5.8600000000,1578.3600000000,1582.3700000000,4.0100000000,1.6400000000,0.0015038166,0.0017956967,0.0037182977,0.0025406118,0.0040482490,0.0010406157,0.0010406157,1
SOLUSDT,2026-07,2026-07-01 07:00:00+00:00,74.3200000000,74.9600000000,74.1000000000,74.8700000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5500000000,0.0900000000,0.7700000000,74.8700000000,75.4400000000,0.5700000000,0.0200000000,0.0074004306,0.0012109795,0.0103606028,0.0076131962,0.0150699677,0.0002691066,0.0002691066,1
XRPUSDT,2026-07,2026-07-01 07:00:00+00:00,1.0424000000,1.0444000000,1.0392000000,1.0441000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0017000000,0.0003000000,0.0049000000,1.0440000000,1.0475000000,0.0035000000,0.0018000000,0.0016308519,0.0002877974,0.0047006907,0.0033524904,0.0048925556,0.0017267843,0.0017267843,1
BTCUSDT,2026-07,2026-07-01 08:00:00+00:00,58768.6400000000,58984.0000000000,58500.0000000000,58973.9900000000,0.0000000000,47.35164835,46253.44319,58944.5500000000,1.0000000000,-1.0000000000,205.3500000000,10.0100000000,-473.9900000000,215.3600000000,-268.6400000000,484.0000000000,-234.7900000000,-268.6400000000,,-1.0000000000,l-o,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,True,205.3500000000,410.7000000000,205.3500000000,10.0100000000,473.9900000000,58973.9900000000,58944.5500000000,-29.4400000000,-234.7900000000,0.0034942105,0.0001703289,0.0080653559,-0.0004992031,0.0029932631,-0.0039951580,0.0039951580,-1
ETHUSDT,2026-07,2026-07-01 08:00:00+00:00,1578.3600000000,1582.3700000000,1568.5100000000,1582.3700000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0100000000,0.0000000000,13.8600000000,1582.3600000000,1581.0100000000,-1.3500000000,-5.3600000000,0.0025406118,0.0000000000,0.0087812666,-0.0008531560,0.0016789579,-0.0033959300,0.0033959300,-1
SOLUSDT,2026-07,2026-07-01 08:00:00+00:00,74.8700000000,75.5200000000,74.4600000000,75.4400000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5700000000,0.0800000000,0.9800000000,75.4400000000,75.4500000000,0.0100000000,-0.5600000000,0.0076131962,0.0010685188,0.0130893549,0.0001325557,0.0077467611,-0.0074796314,0.0074796314,1
XRPUSDT,2026-07,2026-07-01 08:00:00+00:00,1.0440000000,1.0480000000,1.0382000000,1.0475000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0035000000,0.0005000000,0.0093000000,1.0476000000,1.0460000000,-0.0016000000,-0.0051000000,0.0033524904,0.0004789272,0.0089080460,-0.0015273005,0.0019157088,-0.0048850575,0.0048850575,-1
BTCUSDT,2026-07,2026-07-01 09:00:00+00:00,58973.9900000000,59091.9900000000,58825.6100000000,58944.5500000000,0.0000000000,0,58944.55,58659.9800000000,1.0000000000,-1.0000000000,-29.4400000000,147.4400000000,-118.9400000000,118.0000000000,-148.3800000000,266.3800000000,-255.1300000000,-148.3800000000,,-1.0000000000,c-o,,,1.0000000000,1.0000000000,0.0000000000,2.0000000000,,,-29.4400000000,58.8800000000,-29.4400000000,147.4400000000,118.9400000000,58944.5500000000,58659.9800000000,-284.5700000000,-255.1300000000,-0.0004992031,0.0025000852,0.0020168213,-0.0048277576,-0.0053245507,-0.0043261445,0.0043261445,-1
ETHUSDT,2026-07,2026-07-01 09:00:00+00:00,1582.3600000000,1585.3300000000,1578.6800000000,1581.0100000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3500000000,4.3200000000,2.3300000000,1581.0000000000,1573.4300000000,-7.5700000000,-6.2200000000,-0.0008531560,0.0027300993,0.0014724841,-0.0047881088,-0.0056434692,-0.0039308375,0.0039308375,-1
SOLUSDT,2026-07,2026-07-01 09:00:00+00:00,75.4400000000,75.5800000000,75.0500000000,75.4500000000,0.0000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0100000000,0.1300000000,0.4000000000,75.4600000000,74.9900000000,-0.4700000000,-0.4800000000,0.0001325557,0.0017232238,0.0053022269,-0.0062284654,-0.0059650053,-0.0063626723,0.0063626723,-1
