"symbol","month","timestamp","open","high","low","close","volume"
"BTCUSDT","2026-07","1783465200","63551.02","63708.0","63320.0","63363.99","0.0"
"BTCUSDT","2026-07","1783468800","63364.0","63761.99","63307.36","63612.77","0.0"
"BTCUSDT","2026-07","1783472400","63612.78","63649.5","62921.78","63038.01","0.0"
"BTCUSDT","2026-07","1783476000","63038.0","63066.0","62525.47","62979.99","0.0"
"BTCUSDT","2026-07","1783479600","62979.98","63094.0","62700.18","62766.0","0.0"
"BTCUSDT","2026-07","1783483200","62766.0","62901.49","62676.0","62800.0","0.0"
"BTCUSDT","2026-07","1783486800","62800.01","62876.95","62558.0","62637.88","0.0"
"BTCUSDT","2026-07","1783490400","62637.88","62746.0","62477.04","62657.81","0.0"
"BTCUSDT","2026-07","1783494000","62657.82","62894.89","62550.0","62888.35","0.0"
"BTCUSDT","2026-07","1783497600","62888.34","62941.46","61855.26","62018.36","0.0"
"BTCUSDT","2026-07","1783501200","62018.36","62190.01","61743.83","62057.67","0.0"
"BTCUSDT","2026-07","1783504800","62057.68","62199.97","61903.45","62183.12","0.0"
"BTCUSDT","2026-07","1783508400","62183.11","62392.04","62055.63","62299.99","0.0"
"BTCUSDT","2026-07","1783512000","62300.0","62451.08","61953.58","61957.73","0.0"
"BTCUSDT","2026-07","1783515600","61957.74","62090.0","61632.23","61945.49","0.0"
"BTCUSDT","2026-07","1783519200","61945.49","62173.56","61712.0","61889.83","0.0"
"BTCUSDT","2026-07","1783522800","61889.83","61922.0","61544.56","61704.01","0.0"
"BTCUSDT","2026-07","1783526400","61704.01","62164.6","61692.0","62113.03","0.0"
"BTCUSDT","2026-07","1783530000","62113.02","62394.32","62032.0","62104.62","0.0"
"BTCUSDT","2026-07","1783533600","62104.62","62351.97","62045.2","62185.32","0.0"
"BTCUSDT","2026-07","1783537200","62185.33","62292.19","62068.0","62277.98","0.0"
"BTCUSDT","2026-07","1783540800","62277.98","62306.54","62082.8","62099.61","0.0"
"BTCUSDT","2026-07","1783544400","62099.62","62251.22","61956.0","62187.17","0.0"
